Part,Offset (Beat),Duration (Quarter),Drum Component
Voice,190.0,1.0,F
Voice,191.0,0.5,C
Voice,191.5,0.5,F
Voice,196.0,0.5,F
Voice,196.5,0.5,F
Voice,197.0,0.5,C
Voice,197.5,0.5,F
Voice,198.0,1.0,F
Voice,199.0,0.5,C
Voice,199.5,0.5,F
Voice,204.0,1.0,F
Voice,205.0,0.5,C
Voice,205.5,0.5,C
Voice,206.0,0.5,F
Voice,206.5,0.5,F
Voice,207.0,0.5,C
Voice,207.5,0.5,F
Voice,208.0,0.5,F
Voice,208.5,0.5,F
Voice,209.0,0.5,C
Voice,209.5,0.5,F
Voice,210.0,1.0,F
Voice,211.0,0.5,C
Voice,211.5,0.5,F
Voice,212.0,1.0,F
Voice,213.0,0.5,C
Voice,213.5,0.5,C
Voice,214.0,0.5,F
Voice,214.5,0.5,F
Voice,215.0,0.5,C
Voice,215.5,0.5,F
Voice,216.0,0.5,F
Voice,216.5,0.5,F
Voice,217.0,0.5,C
Voice,217.5,0.5,F
Voice,218.0,1.0,F
Voice,219.0,0.5,C
Voice,219.5,0.5,F
Voice,220.0,0.5,F
Voice,220.5,0.5,F
Voice,221.0,1.0,C
Voice,222.0,0.5,F
Voice,222.5,0.5,F
Voice,223.0,1.0,C
Voice,224.0,0.5,F
Voice,224.5,0.5,F
Voice,225.0,1.0,C
Voice,226.0,0.5,F
Voice,226.5,0.5,F
Voice,227.0,0.5,C
Voice,227.5,0.25,C
Voice,227.75,0.25,C
Voice,232.0,0.5,F
Voice,232.5,0.5,F
Voice,233.0,1.0,C
Voice,234.0,0.5,F
Voice,234.5,0.5,F
Voice,235.0,0.5,C
Voice,235.5,0.25,C
Voice,235.75,0.25,C
Voice,240.0,0.5,F
Voice,240.5,0.5,F
Voice,241.0,1.0,C
Voice,242.0,0.5,F
Voice,242.5,0.5,F
Voice,243.0,1.0,C
Voice,244.0,0.5,F
Voice,244.5,0.5,F
Voice,245.0,1.0,C
Voice,246.0,0.5,F
Voice,246.5,0.5,F
Voice,247.0,0.5,C
Voice,247.5,0.5,F
Voice,248.0,1.0,F
Voice,249.0,0.5,C
Voice,249.5,0.5,C
Voice,250.0,0.5,F
Voice,250.5,0.5,F
Voice,251.0,0.5,C
Voice,251.5,0.5,F
Voice,252.0,0.5,F
Voice,252.5,0.5,F
Voice,253.0,0.5,C
Voice,253.5,0.5,F
Voice,254.0,1.0,F
Voice,255.0,0.5,C
Voice,255.5,0.5,F
Voice,256.0,1.0,F
Voice,257.0,0.5,C
Voice,257.5,0.5,C
Voice,258.0,0.5,F
Voice,258.5,0.5,F
Voice,259.0,0.5,C
Voice,259.5,0.5,F
Voice,260.0,0.5,F
Voice,260.5,0.5,F
Voice,261.0,0.5,C
Voice,261.5,0.5,F
Voice,262.0,1.0,F
Voice,263.0,0.5,C
Voice,263.5,0.5,F
Voice,264.0,1.0,F
Voice,265.0,0.5,C
Voice,265.5,0.5,C
Voice,266.0,0.5,F
Voice,266.5,0.5,F
Voice,267.0,0.5,C
Voice,267.5,0.5,F
Voice,268.0,0.5,F
Voice,268.5,0.5,F
Voice,269.0,0.5,C
Voice,269.5,0.5,F
Voice,270.0,1.0,F
Voice,271.0,0.5,C
Voice,271.5,0.5,F
Voice,272.0,1.0,F
Voice,273.0,0.5,C
Voice,273.5,0.5,C
Voice,274.0,0.5,F
Voice,274.5,0.5,F
Voice,275.0,0.5,C
Voice,275.5,0.5,F
Voice,276.0,0.5,F
Voice,276.5,0.5,F
Voice,277.0,0.5,C
Voice,277.5,0.5,F
Voice,278.0,0.5,C
Voice,278.5,0.5,C
Voice,279.0,0.5,F
Voice,279.5,0.5,F
Voice,280.0,1.0,F
