QuarterBass Drumeat Count,Offset (Quarter LenSnare Drumth),Instrument1,Instrument2,Instrument1 Duration,Instrument2 Duration,Beat Subdivision
635,158.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
636,158.75,,,,,
637,159,Snare Drum,Bass Drum,[0.5, 1.0],1st Quarter
638,159.25,,,,,
639,159.5,Snare Drum,,[0.5],,3rd Quarter
640,159.75,,,,,
641,160,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
642,160.25,,,,,
643,160.5,,,,,
644,160.75,,,,,
645,161,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
646,161.25,,,,,
647,161.5,,,,,
648,161.75,,,,,
649,162,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
650,162.25,,,,,
651,162.5,Hi-Hat (Open),,[0.5],,3rd Quarter
652,162.75,,,,,
653,163,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
654,163.25,,,,,
655,163.5,,,,,
656,163.75,,,,,
657,164,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
658,164.25,,,,,
659,164.5,,,,,
660,164.75,,,,,
661,165,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
662,165.25,B,,[0.25],,2nd Quarter
663,165.5,B,,[0.25],,3rd Quarter
664,165.75,B,,[0.25],,4th Quarter
665,166,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
666,166.25,B,,[0.25],,2nd Quarter
667,166.5,B,,[0.25],,3rd Quarter
668,166.75,B,,[0.25],,4th Quarter
669,167,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
670,167.25,B,,[0.25],,2nd Quarter
671,167.5,B,,[0.25],,3rd Quarter
672,167.75,B,,[0.25],,4th Quarter
673,168,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
674,168.25,,,,,
675,168.5,,,,,
676,168.75,,,,,
677,169,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
678,169.25,,,,,
679,169.5,,,,,
680,169.75,,,,,
681,170,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
682,170.25,,,,,
683,170.5,Hi-Hat (Open),,[0.5],,3rd Quarter
684,170.75,,,,,
685,171,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
686,171.25,,,,,
687,171.5,,,,,
688,171.75,,,,,
689,172,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
690,172.25,,,,,
691,172.5,,,,,
692,172.75,,,,,
693,173,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
694,173.25,B,,[0.25],,2nd Quarter
695,173.5,B,,[0.25],,3rd Quarter
696,173.75,B,,[0.25],,4th Quarter
697,174,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
698,174.25,B,,[0.25],,2nd Quarter
699,174.5,B,,[0.25],,3rd Quarter
700,174.75,B,,[0.25],,4th Quarter
701,175,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
702,175.25,B,,[0.25],,2nd Quarter
703,175.5,B,,[0.25],,3rd Quarter
704,175.75,B,,[0.25],,4th Quarter
705,176,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
706,176.25,,,,,
707,176.5,,,,,
708,176.75,,,,,
709,177,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
710,177.25,,,,,
711,177.5,,,,,
712,177.75,,,,,
713,178,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
714,178.25,,,,,
715,178.5,Hi-Hat (Open),,[0.5],,3rd Quarter
716,178.75,,,,,
717,179,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
718,179.25,,,,,
719,179.5,,,,,
720,179.75,,,,,
721,180,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
722,180.25,,,,,
723,180.5,,,,,
724,180.75,,,,,
725,181,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
726,181.25,B,,[0.25],,2nd Quarter
727,181.5,B,,[0.25],,3rd Quarter
728,181.75,B,,[0.25],,4th Quarter
729,182,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
730,182.25,B,,[0.25],,2nd Quarter
731,182.5,B,,[0.25],,3rd Quarter
732,182.75,B,,[0.25],,4th Quarter
733,183,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
734,183.25,B,,[0.25],,2nd Quarter
735,183.5,B,,[0.25],,3rd Quarter
736,183.75,B,,[0.25],,4th Quarter
737,184,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
738,184.25,,,,,
739,184.5,,,,,
740,184.75,,,,,
741,185,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
742,185.25,,,,,
743,185.5,,,,,
744,185.75,,,,,
745,186,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
746,186.25,,,,,
747,186.5,Hi-Hat (Open),,[0.5],,3rd Quarter
748,186.75,,,,,
749,187,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
750,187.25,,,,,
751,187.5,,,,,
752,187.75,,,,,
753,188,B,Bass Drum,[0.0, 0.5],1st Quarter
754,188.25,,,,,
755,188.5,Hi-Hat (Open),,[0.5],,3rd Quarter
756,188.75,,,,,
757,189,B,Bass Drum,[0.0, 0.5],1st Quarter
758,189.25,,,,,
759,189.5,Hi-Hat (Open),,[0.5],,3rd Quarter
760,189.75,,,,,
761,190,B,Bass Drum,[0.0, 0.5],1st Quarter
762,190.25,,,,,
763,190.5,Hi-Hat (Open),,[0.5],,3rd Quarter
764,190.75,,,,,
765,191,B,Bass Drum,[0.0, 0.5],1st Quarter
766,191.25,,,,,
767,191.5,Hi-Hat (Open),,[0.5],,3rd Quarter
768,191.75,,,,,
769,192,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
770,192.25,,,,,
771,192.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
772,192.75,,,,,
773,193,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
774,193.25,,,,,
775,193.5,Bass Drum,,[0.5],,3rd Quarter
776,193.75,,,,,
777,194,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
778,194.25,,,,,
779,194.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
780,194.75,,,,,
781,195,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
782,195.25,,,,,
783,195.5,Bass Drum,,[0.5],,3rd Quarter
784,195.75,,,,,
785,196,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
786,196.25,,,,,
787,196.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
788,196.75,,,,,
789,197,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
790,197.25,,,,,
791,197.5,Bass Drum,,[0.5],,3rd Quarter
792,197.75,,,,,
793,198,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
794,198.25,,,,,
795,198.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
796,198.75,,,,,
797,199,,,,,
798,199.25,,,,,
799,199.5,B,,[0.25],,3rd Quarter
800,199.75,B,,[0.25],,4th Quarter
801,200,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
802,200.25,,,,,
803,200.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
804,200.75,,,,,
805,201,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
806,201.25,,,,,
807,201.5,Bass Drum,,[0.5],,3rd Quarter
808,201.75,,,,,
809,202,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
810,202.25,,,,,
811,202.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
812,202.75,,,,,
813,203,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
814,203.25,,,,,
815,203.5,Bass Drum,,[0.5],,3rd Quarter
816,203.75,,,,,
817,204,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
818,204.25,,,,,
819,204.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
820,204.75,,,,,
821,205,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
822,205.25,,,,,
823,205.5,Bass Drum,,[0.5],,3rd Quarter
824,205.75,,,,,
825,206,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
826,206.25,,,,,
827,206.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
828,206.75,,,,,
829,207,,,,,
830,207.25,,,,,
831,207.5,B,,[0.25],,3rd Quarter
832,207.75,B,,[0.25],,4th Quarter
833,208,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
834,208.25,,,,,
835,208.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
836,208.75,,,,,
837,209,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
838,209.25,,,,,
839,209.5,Bass Drum,,[0.5],,3rd Quarter
840,209.75,,,,,
841,210,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
842,210.25,,,,,
843,210.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
844,210.75,,,,,
845,211,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
846,211.25,,,,,
847,211.5,Bass Drum,,[0.5],,3rd Quarter
848,211.75,,,,,
849,212,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
850,212.25,,,,,
851,212.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
852,212.75,,,,,
853,213,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
854,213.25,,,,,
855,213.5,Bass Drum,,[0.5],,3rd Quarter
856,213.75,,,,,
857,214,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
858,214.25,,,,,
859,214.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
860,214.75,,,,,
861,215,,,,,
862,215.25,,,,,
863,215.5,B,,[0.25],,3rd Quarter
864,215.75,B,,[0.25],,4th Quarter
865,216,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
866,216.25,,,,,
867,216.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
868,216.75,,,,,
869,217,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
870,217.25,,,,,
871,217.5,Bass Drum,,[0.5],,3rd Quarter
872,217.75,,,,,
873,218,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
874,218.25,,,,,
875,218.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
876,218.75,,,,,
877,219,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
878,219.25,,,,,
879,219.5,Bass Drum,,[0.5],,3rd Quarter
880,219.75,,,,,
881,220,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
882,220.25,,,,,
883,220.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
884,220.75,,,,,
885,221,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
886,221.25,,,,,
887,221.5,Bass Drum,,[0.5],,3rd Quarter
888,221.75,,,,,
889,222,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
890,222.25,,,,,
891,222.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
892,222.75,,,,,
893,223,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
894,223.25,,,,,
895,223.5,,,,,
896,223.75,,,,,
897,224,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
898,224.25,,,,,
899,224.5,,,,,
900,224.75,,,,,
901,225,Tom-tom,Bass Drum,[1.0, 0.75],1st Quarter
902,225.25,,,,,
903,225.5,,,,,
904,225.75,B,,[0.25],,4th Quarter
905,226,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
906,226.25,,,,,
907,226.5,Hi-Hat (Open),,[0.5],,3rd Quarter
908,226.75,,,,,
909,227,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
910,227.25,,,,,
911,227.5,,,,,
912,227.75,,,,,
913,228,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
914,228.25,,,,,
915,228.5,Hi-Hat (Open),,[0.5],,3rd Quarter
916,228.75,,,,,
917,229,Tom-tom,Bass Drum,[1.0, 0.5],1st Quarter
918,229.25,,,,,
919,229.5,Hi-Hat (Open),,[0.5],,3rd Quarter
920,229.75,,,,,
921,230,Tom-tom,,[1.0],,1st Quarter
922,230.25,,,,,
923,230.5,Hi-Hat (Open),,[0.5],,3rd Quarter
924,230.75,,,,,
925,231,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
926,231.25,,,,,
927,231.5,,,,,
928,231.75,,,,,
929,232,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
930,232.25,,,,,
931,232.5,,,,,
932,232.75,,,,,
933,233,Tom-tom,Bass Drum,[1.0, 0.75],1st Quarter
934,233.25,,,,,
935,233.5,,,,,
936,233.75,B,,[0.25],,4th Quarter
937,234,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
938,234.25,,,,,
939,234.5,Hi-Hat (Open),,[0.5],,3rd Quarter
940,234.75,,,,,
941,235,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
942,235.25,,,,,
943,235.5,,,,,
944,235.75,,,,,
945,236,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
946,236.25,,,,,
947,236.5,Hi-Hat (Open),,[0.5],,3rd Quarter
948,236.75,,,,,
949,237,Tom-tom,Bass Drum,[1.0, 0.5],1st Quarter
950,237.25,,,,,
951,237.5,Hi-Hat (Open),,[0.5],,3rd Quarter
952,237.75,,,,,
953,238,Tom-tom,,[1.0],,1st Quarter
954,238.25,,,,,
955,238.5,Hi-Hat (Open),,[0.5],,3rd Quarter
956,238.75,,,,,
957,239,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
958,239.25,,,,,
959,239.5,,,,,
960,239.75,,,,,
961,240,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
962,240.25,,,,,
963,240.5,,,,,
964,240.75,,,,,
965,241,Tom-tom,Bass Drum,[1.0, 0.75],1st Quarter
966,241.25,,,,,
967,241.5,,,,,
968,241.75,B,,[0.25],,4th Quarter
969,242,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
970,242.25,,,,,
971,242.5,Hi-Hat (Open),,[0.5],,3rd Quarter
972,242.75,,,,,
973,243,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
974,243.25,,,,,
975,243.5,,,,,
976,243.75,,,,,
977,244,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
978,244.25,,,,,
979,244.5,Hi-Hat (Open),,[0.5],,3rd Quarter
980,244.75,,,,,
981,245,Tom-tom,Bass Drum,[1.0, 0.5],1st Quarter
982,245.25,,,,,
983,245.5,Hi-Hat (Open),,[0.5],,3rd Quarter
984,245.75,,,,,
985,246,Tom-tom,,[1.0],,1st Quarter
986,246.25,,,,,
987,246.5,Hi-Hat (Open),,[0.5],,3rd Quarter
988,246.75,,,,,
989,247,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
990,247.25,,,,,
991,247.5,,,,,
992,247.75,,,,,
993,248,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
994,248.25,,,,,
995,248.5,,,,,
996,248.75,,,,,
997,249,Tom-tom,Bass Drum,[1.0, 0.75],1st Quarter
998,249.25,,,,,
999,249.5,,,,,
1000,249.75,B,,[0.25],,4th Quarter
1001,250,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1002,250.25,,,,,
1003,250.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1004,250.75,,,,,
1005,251,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1006,251.25,,,,,
1007,251.5,,,,,
1008,251.75,,,,,
1009,252,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1010,252.25,,,,,
1011,252.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1012,252.75,,,,,
1013,253,Tom-tom,Bass Drum,[1.0, 0.5],1st Quarter
1014,253.25,,,,,
1015,253.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1016,253.75,,,,,
1017,254,Tom-tom,,[1.0],,1st Quarter
1018,254.25,,,,,
1019,254.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1020,254.75,,,,,
1021,255,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1022,255.25,,,,,
1023,255.5,,,,,
1024,255.75,,,,,
1025,256,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1026,256.25,,,,,
1027,256.5,,,,,
1028,256.75,,,,,
1029,257,Tom-tom,Bass Drum,[1.0, 0.75],1st Quarter
1030,257.25,,,,,
1031,257.5,,,,,
1032,257.75,B,,[0.25],,4th Quarter
1033,258,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1034,258.25,,,,,
1035,258.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1036,258.75,,,,,
1037,259,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1038,259.25,,,,,
1039,259.5,,,,,
1040,259.75,,,,,
1041,260,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1042,260.25,,,,,
1043,260.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1044,260.75,,,,,
1045,261,Tom-tom,Bass Drum,[1.0, 0.5],1st Quarter
1046,261.25,,,,,
1047,261.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1048,261.75,,,,,
1049,262,Tom-tom,,[1.0],,1st Quarter
1050,262.25,,,,,
1051,262.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1052,262.75,,,,,
1053,263,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1054,263.25,,,,,
1055,263.5,,,,,
1056,263.75,,,,,
1057,264,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1058,264.25,,,,,
1059,264.5,,,,,
1060,264.75,,,,,
1061,265,Tom-tom,Bass Drum,[1.0, 0.75],1st Quarter
1062,265.25,,,,,
1063,265.5,,,,,
1064,265.75,B,,[0.25],,4th Quarter
1065,266,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1066,266.25,,,,,
1067,266.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1068,266.75,,,,,
1069,267,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1070,267.25,,,,,
1071,267.5,,,,,
1072,267.75,,,,,
1073,268,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1074,268.25,,,,,
1075,268.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1076,268.75,,,,,
1077,269,Tom-tom,Bass Drum,[1.0, 0.5],1st Quarter
1078,269.25,,,,,
1079,269.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1080,269.75,,,,,
1081,270,Tom-tom,,[1.0],,1st Quarter
1082,270.25,,,,,
1083,270.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1084,270.75,,,,,
1085,271,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1086,271.25,,,,,
1087,271.5,,,,,
1088,271.75,,,,,
1089,272,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1090,272.25,,,,,
1091,272.5,,,,,
1092,272.75,,,,,
1093,273,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1094,273.25,,,,,
1095,273.5,,,,,
1096,273.75,,,,,
1097,274,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1098,274.25,,,,,
1099,274.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1100,274.75,,,,,
1101,275,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1102,275.25,,,,,
1103,275.5,,,,,
1104,275.75,,,,,
1105,276,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1106,276.25,,,,,
1107,276.5,,,,,
1108,276.75,,,,,
1109,277,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1110,277.25,B,,[0.25],,2nd Quarter
1111,277.5,B,,[0.25],,3rd Quarter
1112,277.75,B,,[0.25],,4th Quarter
1113,278,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1114,278.25,B,,[0.25],,2nd Quarter
1115,278.5,B,,[0.25],,3rd Quarter
1116,278.75,B,,[0.25],,4th Quarter
1117,279,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1118,279.25,B,,[0.25],,2nd Quarter
1119,279.5,B,,[0.25],,3rd Quarter
1120,279.75,B,,[0.25],,4th Quarter
1121,280,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1122,280.25,,,,,
1123,280.5,,,,,
1124,280.75,,,,,
1125,281,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1126,281.25,,,,,
1127,281.5,,,,,
1128,281.75,,,,,
1129,282,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1130,282.25,,,,,
1131,282.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1132,282.75,,,,,
1133,283,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1134,283.25,,,,,
1135,283.5,,,,,
1136,283.75,,,,,
1137,284,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1138,284.25,,,,,
1139,284.5,,,,,
1140,284.75,,,,,
1141,285,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1142,285.25,B,,[0.25],,2nd Quarter
1143,285.5,B,,[0.25],,3rd Quarter
1144,285.75,B,,[0.25],,4th Quarter
1145,286,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1146,286.25,B,,[0.25],,2nd Quarter
1147,286.5,B,,[0.25],,3rd Quarter
1148,286.75,B,,[0.25],,4th Quarter
1149,287,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1150,287.25,B,,[0.25],,2nd Quarter
1151,287.5,B,,[0.25],,3rd Quarter
1152,287.75,B,,[0.25],,4th Quarter
1153,288,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1154,288.25,,,,,
1155,288.5,,,,,
1156,288.75,,,,,
1157,289,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1158,289.25,,,,,
1159,289.5,,,,,
1160,289.75,,,,,
1161,290,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1162,290.25,,,,,
1163,290.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1164,290.75,,,,,
1165,291,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1166,291.25,,,,,
1167,291.5,,,,,
1168,291.75,,,,,
1169,292,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1170,292.25,,,,,
1171,292.5,,,,,
1172,292.75,,,,,
1173,293,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1174,293.25,B,,[0.25],,2nd Quarter
1175,293.5,B,,[0.25],,3rd Quarter
1176,293.75,B,,[0.25],,4th Quarter
1177,294,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1178,294.25,B,,[0.25],,2nd Quarter
1179,294.5,B,,[0.25],,3rd Quarter
1180,294.75,B,,[0.25],,4th Quarter
1181,295,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1182,295.25,B,,[0.25],,2nd Quarter
1183,295.5,B,,[0.25],,3rd Quarter
1184,295.75,B,,[0.25],,4th Quarter
1185,296,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1186,296.25,,,,,
1187,296.5,,,,,
1188,296.75,,,,,
1189,297,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1190,297.25,,,,,
1191,297.5,,,,,
1192,297.75,,,,,
1193,298,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1194,298.25,,,,,
1195,298.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1196,298.75,,,,,
1197,299,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1198,299.25,,,,,
1199,299.5,,,,,
1200,299.75,,,,,
1201,300,B,Bass Drum,[0.0, 0.5],1st Quarter
1202,300.25,,,,,
1203,300.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1204,300.75,,,,,
1205,301,B,Bass Drum,[0.0, 0.5],1st Quarter
1206,301.25,,,,,
1207,301.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1208,301.75,,,,,
1209,302,B,Bass Drum,[0.0, 0.5],1st Quarter
1210,302.25,,,,,
1211,302.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1212,302.75,,,,,
1213,303,B,Bass Drum,[0.0, 0.5],1st Quarter
1214,303.25,,,,,
1215,303.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1216,303.75,,,,,
1217,304,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1218,304.25,,,,,
1219,304.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1220,304.75,,,,,
1221,305,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1222,305.25,,,,,
1223,305.5,Bass Drum,,[0.5],,3rd Quarter
1224,305.75,,,,,
1225,306,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1226,306.25,,,,,
1227,306.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1228,306.75,,,,,
1229,307,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1230,307.25,,,,,
1231,307.5,Bass Drum,,[0.5],,3rd Quarter
1232,307.75,,,,,
1233,308,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1234,308.25,,,,,
1235,308.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1236,308.75,,,,,
1237,309,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1238,309.25,,,,,
1239,309.5,Bass Drum,,[0.5],,3rd Quarter
1240,309.75,,,,,
1241,310,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1242,310.25,,,,,
1243,310.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1244,310.75,,,,,
1245,311,,,,,
1246,311.25,,,,,
1247,311.5,B,,[0.25],,3rd Quarter
1248,311.75,B,,[0.25],,4th Quarter
1249,312,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1250,312.25,,,,,
1251,312.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1252,312.75,,,,,
1253,313,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1254,313.25,,,,,
1255,313.5,Bass Drum,,[0.5],,3rd Quarter
1256,313.75,,,,,
1257,314,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1258,314.25,,,,,
1259,314.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1260,314.75,,,,,
1261,315,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1262,315.25,,,,,
1263,315.5,Bass Drum,,[0.5],,3rd Quarter
1264,315.75,,,,,
1265,316,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1266,316.25,,,,,
1267,316.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1268,316.75,,,,,
1269,317,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1270,317.25,,,,,
1271,317.5,Bass Drum,,[0.5],,3rd Quarter
1272,317.75,,,,,
1273,318,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1274,318.25,,,,,
1275,318.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
