QuarterBass Drumeat Count,Offset (Quarter LenSnare Drumth),Instrument1,Instrument2,Instrument1 Duration,Instrument2 Duration,Beat Subdivision
193,48,Snare Drum, Hi-Hat (Open),[0.5, 1.0],1st Quarter
194,48.25,,,,,
195,48.5,Snare Drum,,[0.5],,3rd Quarter
196,48.75,,,,,
197,49,Snare Drum,Bass Drum,[0.5, 1.0],1st Quarter
198,49.25,,,,,
199,49.5,Snare Drum,,[0.5],,3rd Quarter
200,49.75,,,,,
201,50,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
202,50.25,,,,,
203,50.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
204,50.75,,,,,
205,51,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
206,51.25,,,,,
207,51.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
208,51.75,,,,,
209,52,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
210,52.25,,,,,
211,52.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
212,52.75,,,,,
213,53,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
214,53.25,,,,,
215,53.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
216,53.75,,,,,
217,54,Snare Drum,,[0.5],,1st Quarter
218,54.25,,,,,
219,54.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
220,54.75,,,,,
221,55,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
222,55.25,,,,,
223,55.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
224,55.75,,,,,
225,56,Snare Drum, Hi-Hat (Open),[0.5, 1.0],1st Quarter
226,56.25,,,,,
227,56.5,Snare Drum,,[0.5],,3rd Quarter
228,56.75,,,,,
229,57,Snare Drum,Bass Drum,[0.5, 0.75],1st Quarter
230,57.25,,,,,
231,57.5,Snare Drum,,[0.5],,3rd Quarter
232,57.75,B,,[0.25],,4th Quarter
233,58,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
234,58.25,,,,,
235,58.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
236,58.75,,,,,
