Beat Count,Instrument 1,Instrument 2,Offset (Quarter Length)
&,Hi-Hat (Open),,15.875
a,,,15.9375
65,Snare Drum,Hi-Hat (Open),16
e,,,16.0625
&,Bass Drum,Hi-Hat (Open),16.125
a,,,16.1875
66,Bass Drum,Hi-Hat (Open),16.25
e,,,16.3125
&,Hi-Hat (Open),,16.375
a,,,16.4375
67,Snare Drum,Hi-Hat (Open),16.5
e,,,16.5625
&,Bass Drum,Hi-Hat (Open),16.625
a,,,16.6875
68,Bass Drum,Hi-Hat (Open),16.75
e,,,16.8125
&,Hi-Hat (Open),,16.875
a,,,16.9375
69,Snare Drum,Hi-Hat (Open),17
e,,,17.0625
&,Bass Drum,Hi-Hat (Open),17.125
a,,,17.1875
70,Bass Drum,Hi-Hat (Open),17.25
e,,,17.3125
&,Snare Drum,Tom-tom,17.375
a,,,17.4375
71,Hi-Hat (Open),,17.5
e,,,17.5625
&,Bass Drum,Hi-Hat (Open),17.625
a,,,17.6875
72,Snare Drum,Tom-tom,17.75
e,,,17.8125
&,Bass Drum,,17.875
a,,,17.9375
73,Snare Drum,Tom-tom,18
e,,,18.0625
&,Bass Drum,,18.125
a,,,18.1875
74,Bass Drum,Ghost Note,18.25
e,,,18.3125
&,Ghost Note,,18.375
a,,,18.4375
75,Snare Drum,Ghost Note,18.5
e,,,18.5625
&,Bass Drum,Ghost Note,18.625
a,,,18.6875
76,Bass Drum,Ghost Note,18.75
e,,,18.8125
&,Ghost Note,,18.875
a,,,18.9375
77,Snare Drum,Ghost Note,19
e,,,19.0625
&,Bass Drum,Ghost Note,19.125
a,,,19.1875
78,Bass Drum,Ghost Note,19.25
e,,,19.3125
&,Ghost Note,,19.375
a,,,19.4375
79,Snare Drum,Ghost Note,19.5
e,,,19.5625
&,Bass Drum,Ghost Note,19.625
a,,,19.6875
80,Bass Drum,Ghost Note,19.75
e,,,19.8125
&,Ghost Note,,19.875
a,,,19.9375
81,Snare Drum,Ghost Note,20
e,,,20.0625
&,Bass Drum,Ghost Note,20.125
a,,,20.1875
82,Bass Drum,Ghost Note,20.25
e,,,20.3125
&,Ghost Note,,20.375
a,,,20.4375
83,Snare Drum,Ghost Note,20.5
e,,,20.5625
&,Bass Drum,Ghost Note,20.625
a,,,20.6875
84,Bass Drum,Ghost Note,20.75
e,,,20.8125
&,Ghost Note,,20.875
a,,,20.9375
85,Snare Drum,Ghost Note,21
e,,,21.0625
&,Bass Drum,Ghost Note,21.125
a,,,21.1875
86,Bass Drum,Ghost Note,21.25
e,,,21.3125
&,Ghost Note,,21.375
a,,,21.4375
87,Snare Drum,Ghost Note,21.5
e,,,21.5625
&,Bass Drum,Ghost Note,21.625
a,,,21.6875
88,Bass Drum,Ghost Note,21.75
e,,,21.8125
&,Bass Drum,Ghost Note,21.875
a,,,21.9375
89,Snare Drum,Ghost Note,22
e,,,22.0625
&,Bass Drum,Ghost Note,22.125
a,,,22.1875
90,Bass Drum,Ghost Note,22.25
e,,,22.3125
&,Ghost Note,,22.375
a,,,22.4375
91,Snare Drum,Ghost Note,22.5
e,,,22.5625
&,Bass Drum,Ghost Note,22.625
a,,,22.6875
92,Bass Drum,Ghost Note,22.75
e,,,22.8125
&,Ghost Note,,22.875
a,,,22.9375
93,Snare Drum,Ghost Note,23
e,,,23.0625
&,Bass Drum,Ghost Note,23.125
a,,,23.1875
94,Bass Drum,Ghost Note,23.25
e,,,23.3125
&,Ghost Note,,23.375
a,,,23.4375
95,Snare Drum,Ghost Note,23.5
e,,,23.5625
&,Bass Drum,Ghost Note,23.625
a,,,23.6875
96,Bass Drum,Ghost Note,23.75
e,,,23.8125
&,Ghost Note,,23.875
a,,,23.9375
97,Snare Drum,Ghost Note,24
e,,,24.0625
&,Bass Drum,Ghost Note,24.125
a,,,24.1875
98,Bass Drum,Ghost Note,24.25
e,,,24.3125
&,Ghost Note,,24.375
a,,,24.4375
99,Snare Drum,Ghost Note,24.5
e,,,24.5625
&,Bass Drum,Ghost Note,24.625
a,,,24.6875
100,Bass Drum,Ghost Note,24.75
e,,,24.8125
&,Ghost Note,,24.875
a,,,24.9375
101,Snare Drum,Ghost Note,25
e,,,25.0625
&,Bass Drum,Ghost Note,25.125
a,,,25.1875
102,Bass Drum,Ghost Note,25.25
e,,,25.3125
&,Snare Drum,Tom-tom,25.375
a,,,25.4375
103,Ghost Note,,25.5
e,,,25.5625
&,Bass Drum,Ghost Note,25.625
a,,,25.6875
104,Snare Drum,Tom-tom,25.75
e,,,25.8125
